,Survived,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone,Age*Class
217,0,2,0,2,2,0,1,0,4
218,1,1,1,1,3,1,2,1,1
219,0,2,0,1,1,0,1,1,2
220,1,3,0,0,1,0,1,1,0
221,0,2,0,1,1,0,1,1,2
222,0,3,0,3,1,0,1,1,9
223,0,3,0,1,0,0,1,1,3
224,1,1,0,2,3,0,1,0,2
225,0,3,0,1,1,0,1,1,3
226,1,2,0,1,1,0,1,1,2
227,0,3,0,1,0,0,1,1,3
228,0,2,0,1,1,0,1,1,2
229,0,3,1,1,2,0,2,0,3
230,1,1,1,2,3,0,3,0,2
231,0,3,0,1,0,0,1,1,3
232,0,2,0,3,1,0,1,1,6
233,1,3,1,0,3,0,2,0,0
234,0,2,0,1,1,0,1,1,2
235,0,3,1,1,0,0,2,1,3
236,0,2,0,2,2,0,1,0,4
237,1,2,1,0,2,0,2,0,0
238,0,2,0,1,1,0,1,1,2
239,0,2,0,2,1,0,1,1,4
240,0,3,1,1,2,1,2,0,3
241,1,3,1,1,2,2,2,0,3
242,0,2,0,1,1,0,1,1,2
243,0,3,0,1,0,0,1,1,3
244,0,3,0,1,0,1,1,1,3
245,0,1,0,2,3,2,5,0,2
246,0,3,1,1,0,0,2,1,3
247,1,2,1,1,2,0,3,0,2
248,1,1,0,2,3,0,1,0,2
249,0,2,0,3,2,0,5,0,6
250,0,3,0,1,0,0,1,1,3
251,0,3,1,1,1,0,3,0,3
252,0,1,0,3,2,0,1,1,3
253,0,3,0,1,2,0,1,0,3
254,0,3,1,2,2,0,3,0,6
255,1,3,1,1,2,1,3,0,3
256,1,1,1,2,3,1,3,1,2
257,1,1,1,1,3,0,2,1,1
258,1,1,1,2,3,1,2,1,2
259,1,2,1,3,2,0,3,0,6
260,0,3,0,1,0,2,1,1,3
261,1,3,0,0,3,0,4,0,0
262,0,1,0,3,3,0,1,0,3
263,0,1,0,2,0,0,1,1,2
264,0,3,1,1,0,2,2,1,3
265,0,2,0,2,1,0,1,1,4
266,0,3,0,0,3,0,1,0,0
267,1,3,0,1,0,0,1,0,3
268,1,1,1,3,3,0,3,0,3
269,1,1,1,2,3,0,2,1,2
270,0,1,0,2,2,0,1,1,2
271,1,3,0,1,0,0,1,1,3
272,1,2,1,2,2,0,3,0,4
273,0,1,0,2,2,1,1,0,2
274,1,3,1,1,0,2,2,1,3
275,1,1,1,3,3,0,2,0,3
276,0,3,1,2,0,0,2,1,6
277,0,2,0,1,0,0,1,1,2
278,0,3,0,0,2,2,4,0,0
279,1,3,1,2,2,0,3,0,6
280,0,3,0,65,0,2,1,1,195
281,0,3,0,1,0,0,1,1,3
282,0,3,0,0,1,0,1,1,0
283,1,3,0,1,1,0,1,1,3
284,0,1,0,2,2,0,1,1,2
285,0,3,0,2,1,1,1,1,6
286,1,3,0,1,1,0,1,1,3
287,0,3,0,1,0,0,1,1,3
288,1,2,0,2,1,0,1,1,4
289,1,3,1,1,0,2,2,1,3
290,1,1,1,1,3,0,2,1,1
291,1,1,1,1,3,1,3,0,1
292,0,2,0,2,1,1,1,1,4
293,0,3,1,1,1,0,2,1,3
294,0,3,0,1,0,0,1,1,3
295,0,1,0,2,2,1,1,1,2
296,0,3,0,1,0,1,1,1,3
297,0,1,1,0,3,0,2,0,0
298,1,1,0,2,2,0,1,1,2
299,1,1,1,3,3,1,3,0,3
300,1,3,1,1,0,2,2,1,3
301,1,3,0,1,2,2,1,0,3
302,0,3,0,1,0,0,1,1,3
303,1,2,1,1,1,2,2,1,2
304,0,3,0,1,1,0,1,1,3
305,1,1,0,0,3,0,4,0,0
306,1,1,1,2,3,1,2,1,2
307,1,1,1,1,3,1,3,0,1
308,0,2,0,1,2,1,1,0,2
309,1,1,1,1,3,1,2,1,1
310,1,1,1,1,3,1,2,1,1
311,1,1,1,1,3,1,2,0,1
312,0,2,1,1,2,0,3,0,2
313,0,3,0,1,0,0,1,1,3
314,0,2,0,2,2,0,1,0,4
315,1,3,1,1,0,0,2,1,3
316,1,2,1,1,2,0,3,0,2
317,0,2,0,3,1,0,5,1,6
318,1,1,1,1,3,0,2,0,1
319,1,1,1,2,3,1,3,0,2
320,0,3,0,1,0,0,1,1,3
321,0,3,0,1,0,0,1,1,3
322,1,2,1,1,1,2,2,1,2
323,1,2,1,1,2,0,3,0,2
324,0,3,0,1,3,0,1,0,3
325,1,1,1,2,3,1,2,1,2
326,0,3,0,3,0,0,1,1,9
327,1,2,1,2,1,0,3,1,4
328,1,3,1,1,2,0,3,0,3
329,1,1,1,0,3,1,2,0,0
330,1,3,1,1,2,2,2,0,3
331,0,1,0,2,2,0,1,1,2
332,0,1,0,2,3,0,1,0,2
333,0,3,0,0,2,0,1,0,0
334,1,1,1,2,3,0,3,0,2
335,0,3,0,1,0,0,1,1,3
336,0,1,0,1,3,0,1,0,1
337,1,1,1,2,3,1,2,1,2
338,1,3,0,2,1,0,1,1,6
339,0,1,0,2,3,0,1,1,2
340,1,2,0,0,2,0,4,0,0
341,1,1,1,1,3,0,2,0,1
342,0,2,0,1,1,0,1,1,2
343,0,2,0,1,1,0,1,1,2
344,0,2,0,2,1,0,1,1,4
345,1,2,1,1,1,0,2,1,2
346,1,2,1,2,1,0,2,1,4
347,1,3,1,1,2,0,3,0,3
348,1,3,0,0,2,0,4,0,0
349,0,3,0,2,1,0,1,1,6
350,0,3,0,1,1,0,1,1,3
351,0,1,0,2,3,0,1,1,2
352,0,3,0,0,0,1,1,0,0
353,0,3,0,1,2,0,1,0,3
354,0,3,0,1,0,1,1,1,3
355,0,3,0,1,1,0,1,1,3
356,1,1,1,1,3,0,2,0,1
357,0,2,1,2,1,0,2,1,4
358,1,3,1,1,0,2,2,1,3
359,1,3,1,1,0,2,2,1,3
360,0,3,0,2,2,0,1,0,6
361,0,2,0,1,2,1,1,0,2
362,0,3,1,2,2,1,3,0,6
363,0,3,0,2,0,0,1,1,6
364,0,3,0,1,2,2,1,0,3
365,0,3,0,1,0,0,1,1,3
366,1,1,1,3,3,1,3,0,3
367,1,3,1,1,0,1,3,1,3
368,1,3,1,1,0,2,2,1,3
369,1,1,1,1,3,1,3,1,1
370,1,1,0,1,3,1,1,0,1
371,0,3,0,1,0,0,1,0,3
372,0,3,0,1,1,0,1,1,3
373,0,1,0,1,3,1,1,1,1
374,0,3,1,0,2,0,2,0,0
375,1,1,1,2,3,1,3,0,2
376,1,3,1,1,0,0,2,1,3
377,0,1,0,1,3,1,1,0,1
378,0,3,0,1,0,1,1,1,3
379,0,3,0,1,0,0,1,1,3
380,1,1,1,2,3,1,2,1,2
381,1,3,1,0,2,1,2,0,0
382,0,3,0,1,1,0,1,1,3
383,1,1,1,2,3,0,3,0,2
384,0,3,0,1,0,0,1,1,3
385,0,2,0,1,3,0,1,1,2
386,0,3,0,0,3,0,4,0,0
387,1,2,1,2,1,0,2,1,4
388,0,3,0,1,0,2,1,1,3
389,1,2,1,1,1,1,2,1,2
390,1,1,0,2,3,0,1,0,2
391,1,3,0,1,0,0,1,1,3
392,0,3,0,1,1,0,1,0,3
393,1,1,1,1,3,1,2,0,1
394,1,3,1,1,2,0,3,0,3
395,0,3,0,1,0,0,1,1,3
396,0,3,1,1,0,0,2,1,3
397,0,2,0,2,2,0,1,1,4
398,0,2,0,1,1,0,5,1,2
399,1,2,1,1,1,0,3,1,2
400,1,3,0,2,1,0,1,1,6
401,0,3,0,1,1,0,1,1,3
402,0,3,1,1,1,0,2,0,3
403,0,3,0,1,2,0,1,0,3
404,0,3,1,1,1,0,2,1,3
405,0,2,0,2,2,0,1,0,4
406,0,3,0,3,0,0,1,1,9
407,1,2,0,0,2,0,4,0,0
408,0,3,0,1,0,0,1,1,3
409,0,3,1,1,2,0,2,0,3
410,0,3,0,1,0,0,1,1,3
411,0,3,0,1,0,2,1,1,3
412,1,1,1,2,3,2,2,0,2
413,0,2,0,1,0,0,1,1,2
414,1,3,0,2,1,0,1,1,6
415,0,3,1,1,1,0,3,1,3
416,1,2,1,2,3,0,3,0,4
417,1,2,1,1,1,0,2,0,2
418,0,2,0,1,1,0,1,1,2
419,0,3,1,0,2,0,2,0,0
420,0,3,0,1,0,1,1,1,3
421,0,3,0,1,0,2,1,1,3
422,0,3,0,1,0,0,1,1,3
423,0,3,1,1,1,0,3,0,3
424,0,3,0,1,2,0,1,0,3
425,0,3,0,1,0,0,1,1,3
426,1,2,1,1,2,0,3,0,2
427,1,2,1,1,2,0,2,1,2
428,0,3,0,1,0,2,1,1,3
429,1,3,0,1,1,0,1,1,3
430,1,1,0,1,2,0,1,1,1
431,1,3,1,1,2,0,3,0,3
432,1,2,1,2,2,0,3,0,4
433,0,3,0,1,0,0,1,1,3
434,0,1,0,3,3,0,1,0,3
435,1,1,1,0,3,0,2,0,0
436,0,3,1,1,3,0,2,0,3
437,1,2,1,1,2,0,3,0,2
438,0,1,0,3,3,0,1,0,3
439,0,2,0,1,1,0,1,1,2
440,1,2,1,2,2,0,3,0,4
441,0,3,0,1,1,0,1,1,3
442,0,3,0,1,0,0,1,0,3
443,1,2,1,1,1,0,2,1,2
444,1,3,0,1,1,0,1,1,3
445,1,1,0,0,3,0,4,0,0
446,1,2,1,0,2,0,2,0,0
447,1,1,0,2,2,0,1,1,2
448,1,3,1,0,2,1,2,0,0
449,1,1,0,3,2,0,5,1,3
450,0,2,0,2,2,0,1,0,4
451,0,3,0,1,2,0,1,0,3
452,0,1,0,1,2,1,1,1,1
453,1,1,0,3,3,1,1,0,3
454,0,3,0,1,1,0,1,1,3
455,1,3,0,1,0,1,1,1,3
456,0,1,0,65,2,0,1,1,65
457,1,1,1,2,3,0,3,0,2
458,1,2,1,3,1,0,2,1,6
459,0,3,0,1,0,2,1,1,3
460,1,1,0,2,2,0,1,1,2
461,0,3,0,2,1,0,1,1,6
462,0,1,0,2,3,0,1,1,2
463,0,2,0,2,1,0,1,1,4
464,0,3,0,1,1,0,1,1,3
465,0,3,0,2,0,0,1,1,6
466,0,2,0,1,0,0,1,1,2
467,0,1,0,3,2,0,1,1,3
468,0,3,0,1,0,2,1,1,3
469,1,3,1,0,2,1,2,0,0
470,0,3,0,1,0,0,1,1,3
471,0,3,0,2,1,0,1,1,6
472,1,2,1,2,2,0,3,0,4
473,1,2,1,1,1,1,3,1,2
474,0,3,1,1,1,0,2,1,3
475,0,1,0,2,3,0,1,1,2
476,0,2,0,2,2,0,1,0,4
477,0,3,0,1,0,0,1,0,3
478,0,3,0,1,0,0,1,1,3
479,1,3,1,0,1,0,2,0,0
480,0,3,0,0,3,0,4,0,0
481,0,2,0,1,0,0,1,1,2
482,0,3,0,3,1,0,1,1,9
483,1,3,1,3,1,0,3,1,9
484,1,1,0,1,3,1,1,0,1
485,0,3,1,1,2,0,2,0,3
486,1,1,1,2,3,0,3,0,2
487,0,1,0,3,2,1,1,1,3
488,0,3,0,1,1,0,1,1,3
489,1,3,0,0,2,0,4,0,0
490,0,3,0,1,2,0,1,0,3
491,0,3,0,1,0,0,1,1,3
492,0,1,0,3,2,0,1,1,3
493,0,1,0,71,3,1,1,1,71
494,0,3,0,1,1,0,1,1,3
495,0,3,0,1,2,1,1,1,3
496,1,1,1,3,3,1,2,0,3
497,0,3,0,1,2,0,1,1,3
498,0,1,1,1,3,0,3,0,1
499,0,3,0,1,0,0,1,1,3
500,0,3,0,1,1,0,1,1,3
501,0,3,1,1,0,2,2,1,3
502,0,3,1,1,0,2,2,1,3
503,0,3,1,2,1,0,2,1,6
504,1,1,1,0,3,0,2,1,0
505,0,1,0,1,3,1,1,0,1
506,1,2,1,2,2,0,3,0,4
507,1,1,0,2,2,0,1,1,2
508,0,3,0,1,2,0,1,1,3
509,1,3,0,1,3,0,1,1,3
510,1,3,0,1,0,2,1,1,3
511,0,3,0,1,1,0,1,1,3
512,1,1,0,2,2,0,1,1,2
513,1,1,1,3,3,1,3,0,3
514,0,3,0,1,0,0,1,1,3
515,0,1,0,2,3,0,1,1,2
516,1,2,1,2,1,0,3,1,4
517,0,3,0,1,2,2,1,1,3
518,1,2,1,2,2,0,3,0,4
519,0,3,0,1,0,0,1,1,3
520,1,1,1,1,3,0,2,1,1
521,0,3,0,1,0,0,1,1,3
522,0,3,0,1,0,1,1,1,3
523,1,1,1,2,3,1,3,0,2
524,0,3,0,1,0,1,1,1,3
525,0,3,0,2,0,2,1,1,6
526,1,2,1,3,1,0,2,1,6
527,0,1,0,2,3,0,1,1,2
528,0,3,0,2,1,0,1,1,6
529,0,2,0,1,1,0,1,0,2
530,1,2,1,0,2,0,2,0,0
531,0,3,0,1,0,1,1,1,3
532,0,3,0,1,0,1,1,0,3
533,1,3,1,1,2,1,3,0,3
534,0,3,1,1,1,0,2,1,3
535,1,2,1,0,2,0,2,0,0
536,0,1,0,2,2,0,5,1,2
537,1,1,1,1,3,1,2,1,1
538,0,3,0,1,2,0,1,1,3
539,1,1,1,1,3,1,2,0,1
540,1,1,1,2,3,0,2,0,2
541,0,3,1,0,3,0,2,0,0
542,0,3,1,0,3,0,2,0,0
543,1,2,0,1,2,0,1,0,2
544,0,1,0,3,3,1,1,0,3
545,0,1,0,3,2,0,1,1,3
546,1,2,1,1,2,0,3,0,2
547,1,2,0,1,1,1,1,1,2
548,0,3,0,2,2,0,1,0,6
549,1,2,0,0,3,0,4,0,0
550,1,1,0,1,3,1,1,0,1
551,0,2,0,1,2,0,1,1,2
552,0,3,0,1,0,2,1,1,3
553,1,3,0,1,0,1,1,1,3
554,1,3,1,1,0,0,2,1,3
555,0,1,0,3,2,0,1,1,3
556,1,1,1,2,3,1,5,0,2
557,0,1,0,2,3,1,1,1,2
558,1,1,1,2,3,0,3,0,2
559,1,3,1,2,2,0,3,0,6
560,0,3,0,1,0,2,1,1,3
561,0,3,0,2,0,0,1,1,6
562,0,2,0,1,1,0,1,1,2
563,0,3,0,1,1,0,1,1,3
564,0,3,1,1,1,0,2,1,3
565,0,3,0,1,2,0,1,0,3
566,0,3,0,1,0,0,1,1,3
567,0,3,1,1,2,0,3,0,3
568,0,3,0,1,0,1,1,1,3
569,1,3,0,1,0,0,1,1,3
570,1,2,0,3,1,0,1,1,6
571,1,1,1,3,3,0,3,0,3
572,1,1,0,2,2,0,1,1,2
573,1,3,1,1,0,2,2,1,3
574,0,3,0,0,1,0,1,1,0
575,0,3,0,1,2,0,1,1,3
576,1,2,1,2,1,0,2,1,4
577,1,1,1,2,3,0,3,0,2
578,0,3,1,1,2,1,3,0,3
579,1,3,0,1,1,0,1,1,3
580,1,2,1,1,2,0,2,0,2
581,1,1,1,2,3,1,3,0,2
582,0,2,0,3,2,0,1,1,6
583,0,1,0,2,3,1,1,1,2
584,0,3,0,1,1,1,1,1,3
585,1,1,1,1,3,0,2,0,1
586,0,2,0,2,2,0,1,1,4
587,1,1,0,3,3,1,1,0,3
588,0,3,0,1,1,0,1,1,3
589,0,3,0,1,1,0,1,1,3
590,0,3,0,2,0,0,1,1,6
591,1,1,1,3,3,1,3,0,3
592,0,3,0,2,0,0,1,1,6
593,0,3,1,1,0,2,2,0,3
594,0,2,0,2,2,0,1,0,4
595,0,3,0,2,2,0,1,0,6
596,1,2,1,1,3,0,2,1,2
597,0,3,0,3,0,0,1,1,9
598,0,3,0,1,0,1,1,1,3
599,1,1,0,3,3,1,5,0,3
600,1,2,1,1,2,0,3,0,2
601,0,3,0,1,0,0,1,1,3
602,0,1,0,2,3,0,1,1,2
603,0,3,0,2,1,0,1,1,6
604,1,1,0,2,2,1,1,1,2
605,0,3,0,2,2,0,1,0,6
606,0,3,0,1,0,0,1,1,3
607,1,1,0,1,2,0,1,1,1
608,1,2,1,1,3,1,3,0,2
609,1,1,1,2,3,0,2,1,2
610,0,3,1,2,3,0,3,0,6
611,0,3,0,1,0,0,1,1,3
612,1,3,1,1,2,2,2,0,3
613,0,3,0,1,0,2,1,1,3
614,0,3,0,2,1,0,1,1,6
615,1,2,1,1,3,0,2,0,2
616,0,3,0,2,1,0,1,0,6
617,0,3,1,1,2,0,3,0,3
618,1,2,1,0,3,0,2,0,0
619,0,2,0,1,1,0,1,1,2
620,0,3,0,1,2,1,1,0,3
621,1,1,0,2,3,0,1,0,2
622,1,3,0,1,2,1,1,0,3
623,0,3,0,1,0,0,1,1,3
624,0,3,0,1,2,0,1,1,3
625,0,1,0,3,3,0,1,1,3
626,0,2,0,3,1,2,5,1,6
627,1,1,1,1,3,0,2,1,1
628,0,3,0,1,0,0,1,1,3
629,0,3,0,1,0,2,1,1,3
630,1,1,0,80,2,0,1,1,80
631,0,3,0,3,0,0,1,1,9
632,1,1,0,1,2,1,5,1,1
633,0,1,0,2,0,0,1,1,2
634,0,3,1,0,2,0,2,0,0
635,1,2,1,1,1,0,2,1,2
636,0,3,0,1,1,0,1,1,3
637,0,2,0,1,2,0,1,0,2
638,0,3,1,2,3,0,3,0,6
639,0,3,0,1,2,0,1,0,3
640,0,3,0,1,0,0,1,1,3
641,1,1,1,1,3,1,2,1,1
642,0,3,1,0,2,0,2,0,0
643,1,3,0,1,3,0,1,1,3
644,1,3,1,0,2,1,2,0,0
645,1,1,0,2,3,1,1,0,2
646,0,3,0,1,0,0,1,1,3
647,1,1,0,3,3,1,5,1,3
648,0,3,0,1,0,0,1,1,3
649,1,3,1,1,0,0,2,1,3
650,0,3,0,1,0,0,1,1,3
651,1,2,1,1,2,0,2,0,2
652,0,3,0,1,1,0,1,1,3
653,1,3,1,1,0,2,2,1,3
654,0,3,1,1,0,2,2,1,3
655,0,2,0,1,3,0,1,0,2
656,0,3,0,1,0,0,1,1,3
657,0,3,1,1,2,2,3,0,3
658,0,2,0,1,1,0,1,1,2
659,0,1,0,3,3,1,1,0,3
660,1,1,0,3,3,0,5,0,3
661,0,3,0,2,0,1,1,1,6
662,0,1,0,2,2,0,1,1,2
663,0,3,0,2,0,0,1,1,6
664,1,3,0,1,1,0,1,0,3
665,0,2,0,1,3,0,1,0,2
666,0,2,0,1,1,0,1,1,2
667,0,3,0,1,0,0,1,1,3
668,0,3,0,2,1,0,1,1,6
669,1,1,1,2,3,0,3,0,2
670,1,2,1,2,3,0,3,0,4
671,0,1,0,1,3,0,1,0,1
672,0,2,0,70,1,0,1,1,140
673,1,2,0,1,1,0,1,1,2
674,0,2,0,1,0,0,1,1,2
675,0,3,0,1,0,0,1,1,3
676,0,3,0,1,1,0,1,1,3
677,1,3,1,1,1,0,2,1,3
678,0,3,1,2,3,0,3,0,6
679,1,1,0,2,3,1,1,0,2
680,0,3,1,1,1,2,2,1,3
681,1,1,0,1,3,1,1,1,1
682,0,3,0,1,1,0,1,1,3
683,0,3,0,0,3,0,1,0,0
684,0,2,0,3,3,0,1,0,6
685,0,2,0,1,3,1,1,0,2
686,0,3,0,0,3,0,1,0,0
687,0,3,0,1,1,0,1,1,3
688,0,3,0,1,0,0,1,1,3
689,1,1,1,0,3,0,2,0,0
690,1,1,0,1,3,0,1,0,1
691,1,3,1,0,1,1,2,0,0
692,1,3,0,1,3,0,1,1,3
693,0,3,0,1,0,1,1,1,3
694,0,1,0,3,2,0,5,1,3
